barcode,artista,titolo,compositore,catalogo,casa,etichetta,supporto,n.supporti,datauscita,prezzo,Ordinato,Preparato
0602435772202,AA. VV.,I'LL BE YOUR MIRROR,-,3577220,UNIVERSAL,IMS-CAROLINE INT. LI,CD,1,24/09/2021,"9,49",1,0
0602438200825,AA.VV.,I'LL BE YOUR MIRROR - A TRIBUTE TO THE VELVET UNDERGROUND & NICO - 2LP COLORED,-,3820082,EGEA,IMS - UNIVERSAL,LP,2,24/09/2021,"24,38",1,0
5099751076414,AC/DC,HIGHWAY TO HELL,-,5107641,SONY,EPIC,LP,1,03/10/2003,"14,44",1,0
0602435504285,ART OF NOISE,WHO'S AFRAID OF THE ART OF NOISE 2LP COLORED VINYL,-,3550428,UNIVERSAL,UNIVERSAL RSD 2021,LP,2,17/07/2021,"20,48",1,0
0888072222878,AUGUST BURNS RED,GUARDIANS SESSIONS - TRANSPARENT,-,FEAR01619,AUDIOGLOBE,FEARLESS,LP,1,28/05/2021,"13,57",1,0
0604043855612,"BAKER, CHET / LACKERSCHMID, WOLFGANG",BALLADS FOR TWO [LTD.NUM.ED.],-,DT8556,EGEA,DOT TIME LEGENDS,LP,1,23/10/2020,25,1,0
9788893520621,BATTAGLIA DODI,INNO ALLA MUSICA - 2LP VINILE CLEAR TRASPARENTE + LIBRO 32 PP. LTD.ED.,-,9788893520621,AZZURRA MUSIC,AZZURRA MUSIC,LP,2,23/07/2021,"23,69",1,0
0194399180617,BATTIATO FRANCO,DIECI STRATAGEMMI - COLORATO BIANCO,-,19439918061,SONY,CATALOG,LP,1,27/08/2021,"17,12",1,0
0194399180815,BATTIATO FRANCO,FERRO BATTUTO - COLORATO ROSSO,-,19439918081,SONY,RCA RECORDS LABEL,LP,1,27/08/2021,"17,12",1,0
0194399180914,BATTIATO FRANCO,FETUS - 180GR COLORATO NATURAL,-,19439918091,SONY,RCA RECORDS LABEL,LP,1,09/07/2021,"16,05",3,1
0889854642617,BATTIATO FRANCO,FETUS,-,88985464261,SONY,RCA RECORDS LABEL,LP,1,20/10/2017,"14,44",1,0
0194399180716,"BATTIATO, FRANCO",FLEURS 3 - COLORATO YELLOW,-,19439918071,SONY,RCA RECORDS LABEL,LP,1,17/09/2021,"17,12",1,0
0194399328514,"BATTIATO, FRANCO",TORNEREMO ANCORA - 180GR COLORATO BLUE,-,19439932851,SONY,LEGACY RECORDINGS,LP,2,17/09/2021,"20,33",1,0
0602557034905,BECK,SEA CHANGE,-,5703490,UNIVERSAL,IMS-GEFFEN RECORDS,LP,2,05/12/2016,"24,68",1,0
0075597916881,BLACK KEYS THE,DELTA KREAM,-,75597916881,WARNER,NONESUCH,LP,2,14/05/2021,"19,8",1,0
0880882448714,BLACK PUMAS,CAPITOL CUTS - LIVE AT STUDIO A - COLORED RED VINYL LTD.ED.,-,ATRD824487.1,IMPORT EU,ATO RECORDS,LP,1,16/07/2021,"19,23",1,0
5414939920790,BLACK SABBATH,PARANOID,-,BMGRM054LP,WARNER,BMG RIGHTS MANAGEMENT,LP,1,23/06/2015,"13,91",2,0
0602508832512,BRAVI MICHELE,LA GEOGRAFIA DEL BUIO,-,883251,UNIVERSAL,VIRGIN,LP,1,29/01/2021,"15,75",2,0
4050538629996,BUENA VISTA SOCIAL C,BUENA VISTA SOCIAL CLUB,-,4050538629996,WARNER,BMG RIGHTS MANAGEMEN,LP,2,17/09/2021,"20,86",2,0
4050538672206,BUENA VISTA SOCIAL C,BUENA VISTA SOCIAL CLUB,-,4050538672206,WARNER,BMG RIGHTS MANAGEMEN,CD,2,17/09/2021,"11,98",2,0
0723592757748,BURNSIDE CEDRIC,I BE TRYING (INDIE EXCLUSIVE),-,SL052LP-C1,GOODFELLAS,SINGLE LOCK RECO,LP,1,23/07/2021,"19,54",1,0
0602508780615,C.S.I.,LINEA GOTICA,-,878061,UNIVERSAL,UNIVERSAL STRATEGIC,LP,2,28/02/2020,"20,48",1,0
5055006516098,CARCASS,SWANSONG,-,MOSH160FDR,AUDIOGLOBE,EARACHE RECORDS,LP,1,18/06/2021,"13,09",1,0
